,Time,T+1,T+2,T+3
4921,2020-11-26 21:00:00,440.43788400000005,445.91603800000007,447.228984
4922,2020-11-26 22:00:00,445.91603800000007,447.228984,447.81754600000005
4923,2020-11-26 23:00:00,447.228984,447.81754600000005,447.72699800000004
4924,2020-11-27 00:00:00,447.81754600000005,447.72699800000004,447.27425800000003
4925,2020-11-27 01:00:00,447.72699800000004,447.27425800000003,450.443438
4926,2020-11-27 02:00:00,447.27425800000003,450.443438,450.17179400000003
4927,2020-11-27 03:00:00,450.443438,450.17179400000003,449.08521800000005
4928,2020-11-27 04:00:00,450.17179400000003,449.08521800000005,445.23692800000003
4929,2020-11-27 05:00:00,449.08521800000005,445.23692800000003,439.804048
4930,2020-11-27 06:00:00,445.23692800000003,439.804048,418.66109000000006
4931,2020-11-27 07:00:00,439.804048,418.66109000000006,409.47046800000004
4932,2020-11-27 08:00:00,418.66109000000006,409.47046800000004,410.24012600000003
4933,2020-11-27 09:00:00,409.47046800000004,410.24012600000003,409.7873860000001
4934,2020-11-27 10:00:00,410.24012600000003,409.7873860000001,411.14560600000004
4935,2020-11-27 11:00:00,409.7873860000001,411.14560600000004,413.63567600000005
4936,2020-11-27 12:00:00,411.14560600000004,413.63567600000005,421.78499600000004
4937,2020-11-27 13:00:00,413.63567600000005,421.78499600000004,428.80246600000004
4938,2020-11-27 14:00:00,421.78499600000004,428.80246600000004,440.84535000000005
4939,2020-11-27 15:00:00,428.80246600000004,440.84535000000005,448.451382
4940,2020-11-27 16:00:00,440.84535000000005,448.451382,449.266314
4941,2020-11-27 17:00:00,448.451382,449.266314,450.12652
4942,2020-11-27 18:00:00,449.266314,450.12652,450.26234200000005
4943,2020-11-27 19:00:00,450.12652,450.26234200000005,449.85487600000005
4944,2020-11-27 20:00:00,450.26234200000005,449.85487600000005,450.57926000000003
4945,2020-11-27 21:00:00,449.85487600000005,450.57926000000003,449.99069800000007
4946,2020-11-27 22:00:00,450.57926000000003,449.99069800000007,451.39419200000003
4947,2020-11-27 23:00:00,449.99069800000007,451.39419200000003,451.07727400000005
4948,2020-11-28 00:00:00,451.39419200000003,451.07727400000005,450.850904
4949,2020-11-28 01:00:00,451.07727400000005,450.850904,450.21706800000004
4950,2020-11-28 02:00:00,450.850904,450.21706800000004,454.246454
4951,2020-11-28 03:00:00,450.21706800000004,454.246454,455.15193400000004
4952,2020-11-28 04:00:00,454.246454,455.15193400000004,453.83898800000003
4953,2020-11-28 05:00:00,455.15193400000004,453.83898800000003,440.30206200000003
4954,2020-11-28 06:00:00,453.83898800000003,440.30206200000003,416.21629400000006
4955,2020-11-28 07:00:00,440.30206200000003,416.21629400000006,406.25601400000005
4956,2020-11-28 08:00:00,416.21629400000006,406.25601400000005,403.72067000000004
4957,2020-11-28 09:00:00,406.25601400000005,403.72067000000004,403.449026
4958,2020-11-28 10:00:00,403.72067000000004,403.449026,402.00025800000003
4959,2020-11-28 11:00:00,403.449026,402.00025800000003,408.29334400000005
4960,2020-11-28 12:00:00,402.00025800000003,408.29334400000005,412.14163400000007
4961,2020-11-28 13:00:00,408.29334400000005,412.14163400000007,425.95020400000004
4962,2020-11-28 14:00:00,412.14163400000007,425.95020400000004,444.10507800000005
4963,2020-11-28 15:00:00,425.95020400000004,444.10507800000005,452.073302
4964,2020-11-28 16:00:00,444.10507800000005,452.073302,451.03200000000004
4965,2020-11-28 17:00:00,452.073302,451.03200000000004,452.66186400000004
4966,2020-11-28 18:00:00,451.03200000000004,452.66186400000004,452.20912400000003
4967,2020-11-28 19:00:00,452.66186400000004,452.20912400000003,452.118576
4968,2020-11-28 20:00:00,452.20912400000003,452.118576,453.88426200000004
4969,2020-11-28 21:00:00,452.118576,453.88426200000004,454.608646
4970,2020-11-28 22:00:00,453.88426200000004,454.608646,453.92953600000004
4971,2020-11-28 23:00:00,454.608646,453.92953600000004,456.147962
4972,2020-11-29 00:00:00,453.92953600000004,456.147962,453.793714
4973,2020-11-29 01:00:00,456.147962,453.793714,453.793714
4974,2020-11-29 02:00:00,453.793714,453.793714,455.876318
4975,2020-11-29 03:00:00,453.793714,455.876318,458.72858
4976,2020-11-29 04:00:00,455.876318,458.72858,458.41166200000004
4977,2020-11-29 05:00:00,458.72858,458.41166200000004,440.30206200000003
4978,2020-11-29 06:00:00,458.41166200000004,440.30206200000003,418.34417200000007
4979,2020-11-29 07:00:00,440.30206200000003,418.34417200000007,412.413278
4980,2020-11-29 08:00:00,418.34417200000007,412.413278,410.873962
4981,2020-11-29 09:00:00,412.413278,410.873962,407.206768
