,time,Skykight,InShade,NorthUp,Northdown,SouthUp,Southdown,TimeStep
264,2020/4/2 20:00,10,0,50,50,100,100,2.02004E+11
265,2020/4/2 20:10,10,0,50,50,100,100,2.02004E+11
266,2020/4/2 20:20,10,0,50,50,100,100,2.02004E+11
267,2020/4/2 20:30,10,0,50,50,100,100,2.02004E+11
268,2020/4/2 20:40,10,0,50,50,100,100,2.02004E+11
269,2020/4/2 20:50,10,0,50,50,100,100,2.02004E+11
270,2020/4/2 21:00,10,0,50,50,100,100,2.02004E+11
271,2020/4/2 21:10,10,0,50,50,100,100,2.02004E+11
272,2020/4/2 21:20,10,0,50,50,100,100,2.02004E+11
273,2020/4/2 21:30,10,0,50,50,100,100,2.02004E+11
274,2020/4/2 21:40,10,0,50,50,100,100,2.02004E+11
275,2020/4/2 21:50,10,0,50,50,100,100,2.02004E+11
276,2020/4/2 22:00,10,0,50,50,100,100,2.02004E+11
277,2020/4/2 22:10,10,0,50,50,100,100,2.02004E+11
278,2020/4/2 22:20,10,0,50,50,100,100,2.02004E+11
279,2020/4/2 22:30,10,0,50,50,100,100,2.02004E+11
280,2020/4/2 22:40,10,0,50,50,100,100,2.02004E+11
281,2020/4/2 22:50,10,0,50,50,100,100,2.02004E+11
282,2020/4/2 23:00,10,0,50,50,100,100,2.02004E+11
283,2020/4/2 23:10,10,0,50,50,100,100,2.02004E+11
284,2020/4/2 23:20,10,0,50,50,100,100,2.02004E+11
285,2020/4/2 23:30,10,0,50,50,100,100,2.02004E+11
286,2020/4/2 23:40,10,0,50,50,100,100,2.02004E+11
287,2020/4/2 23:50,10,0,50,50,100,100,2.02004E+11
288,2020/4/3 00:00,10,0,50,50,100,100,2.02004E+11
289,2020/4/3 00:10,10,0,50,50,100,100,2.02004E+11
290,2020/4/3 00:20,10,0,50,50,100,100,2.02004E+11
291,2020/4/3 00:30,10,0,50,50,100,100,2.02004E+11
292,2020/4/3 00:40,10,0,50,50,100,100,2.02004E+11
293,2020/4/3 00:50,10,0,50,50,100,100,2.02004E+11
294,2020/4/3 01:00,10,0,50,50,100,100,2.02004E+11
295,2020/4/3 01:10,10,0,50,50,100,100,2.02004E+11
296,2020/4/3 01:20,10,0,50,50,100,100,2.02004E+11
297,2020/4/3 01:30,10,0,50,50,100,100,2.02004E+11
298,2020/4/3 01:40,10,0,50,50,100,100,2.02004E+11
299,2020/4/3 01:50,10,0,50,50,100,100,2.02004E+11
300,2020/4/3 02:00,10,0,50,50,100,100,2.02004E+11
301,2020/4/3 02:10,10,0,50,50,100,100,2.02004E+11
302,2020/4/3 02:20,10,0,50,50,100,100,2.02004E+11
303,2020/4/3 02:30,10,0,50,50,100,100,2.02004E+11
304,2020/4/3 02:40,10,0,50,50,100,100,2.02004E+11
305,2020/4/3 02:50,10,0,50,50,100,100,2.02004E+11
306,2020/4/3 03:00,10,0,50,50,100,100,2.02004E+11
307,2020/4/3 03:10,10,0,50,50,100,100,2.02004E+11
308,2020/4/3 03:20,10,0,50,50,100,100,2.02004E+11
309,2020/4/3 03:30,10,0,50,50,100,100,2.02004E+11
310,2020/4/3 03:40,10,0,50,50,100,100,2.02004E+11
311,2020/4/3 03:50,10,0,50,50,100,100,2.02004E+11
312,2020/4/3 04:00,10,0,50,50,100,100,2.02004E+11
313,2020/4/3 04:10,10,0,50,50,100,100,2.02004E+11
314,2020/4/3 04:20,10,0,50,50,100,100,2.02004E+11
315,2020/4/3 04:30,10,0,50,50,100,100,2.02004E+11
316,2020/4/3 04:40,10,0,50,50,100,100,2.02004E+11
317,2020/4/3 04:50,10,0,50,50,100,100,2.02004E+11
318,2020/4/3 05:00,10,0,50,50,100,100,2.02004E+11
319,2020/4/3 05:10,10,0,50,50,100,100,2.02004E+11
320,2020/4/3 05:20,10,0,50,50,100,100,2.02004E+11
321,2020/4/3 05:30,10,0,50,50,100,100,2.02004E+11
322,2020/4/3 05:40,10,0,50,50,100,100,2.02004E+11
